title,url,price_omr,bedrooms,bathrooms,size_sqm,locality,listing_date,agency
ANSAB | 8 BEDROOM VILLA,https://www.dubizzle.com.om/en/ad/ansab-8-bedroom-villa-ID130488480.html,400.0,8.0,9.0,300.0,"Ansab, Muscat",8 hours ago,
ADV905*4BHK Villa for rent in Madinat Illam in a complex,https://www.dubizzle.com.om/en/ad/adv9054bhk-villa-for-rent-in-madinat-illam-in-a-complex-ID130363172.html,750.0,4.0,4.0,300.0,"Qurum, Muscat",13 hours ago,
ADV906**4BHK Villa in a comples in shatti qurum,https://www.dubizzle.com.om/en/ad/adv9064bhk-villa-in-a-comples-in-shatti-qurum-ID130363228.html,1900.0,4.0,4.0,300.0,"Qurum, Muscat",13 hours ago,
ADC507*** Office Space in Azaiba – 440 sqm for Rent*,https://www.dubizzle.com.om/en/ad/adc507-office-space-in-azaiba-440-sqm-for-rent-ID129639367.html,2310.0,,,440.0,"Azaiba, Muscat",13 hours ago,
*ADV705** 3+1 BHK Villa for Rent in Bousher –Al Muna,https://www.dubizzle.com.om/en/ad/adv705-31-bhk-villa-for-rent-in-bousher-al-muna-ID129637250.html,650.0,3.0,4.0,350.0,"Bosher, Muscat",13 hours ago,
3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool,https://www.dubizzle.com.om/en/ad/3-1-fully-furnished-villa-for-sale-in-al-khoud-with-garden-pool-ID130473813.html,150000.0,3.0,4.0,768.0,"Al Khoud, Muscat",13 hours ago,
4 BR + Maid’s Room Spacious Well-Designed Villa in Azaiba,https://www.dubizzle.com.om/en/ad/4-br-maids-room-spacious-well-designed-villa-in-azaiba-ID130440803.html,750.0,4.0,5.0,439.0,"Azaiba, Muscat",13 hours ago,
2 BR Beautiful Apartment with Panoramic Views – Muscat Hills,https://www.dubizzle.com.om/en/ad/2-br-beautiful-apartment-with-panoramic-views-muscat-hills-ID130487287.html,430.0,2.0,2.0,119.0,"Muscat Hills, Muscat",13 hours ago,
"2 BR Fully Furnished Apartment in Juman Two, Al Mouj - with Amenities",https://www.dubizzle.com.om/en/ad/2-br-fully-furnished-apartment-in-juman-two-al-mouj-with-amenities-ID130273117.html,1250.0,2.0,3.0,109.0,"The Wave (Almouj), Muscat",13 hours ago,
2 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,https://www.dubizzle.com.om/en/ad/2-br-1-bedroom-brand-new-apartment-in-shatti-al-qurum-ID130487280.html,525.0,2.0,3.0,119.0,"Qurum, Muscat",13 hours ago,
