title,url,price_omr,bedrooms,bathrooms,size_sqm,locality,listing_date,agency
QURUM | SPACIOUS 6 BR COMPOUND VILLA,https://www.dubizzle.com.om/en/ad/qurum-spacious-6-br-compound-villa-ID129865691.html,1000.0,6.0,5.0,300.0,"Qurum, Muscat",6 hours ago,
QURUM | 6 BR COMPOUND VILLA,https://www.dubizzle.com.om/en/ad/qurum-6-br-compound-villa-ID129807257.html,650.0,6.0,6.0,300.0,"Qurum, Muscat",6 hours ago,
محل للايجار ف الخوض السادسه قريب من جميع الخدمات موقع تجاري مميز,https://www.dubizzle.com.om/en/ad/%D9%85%D8%AD%D9%84-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81-%D8%A7%D9%84%D8%AE%D9%88%D8%B6-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3%D9%87-%D9%82%D8%B1%D9%8A%D8%A8-%D9%85%D9%86-%D8%AC%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D9%85%D9%88%D9%82%D8%B9-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A-%D9%85%D9%85%D9%8A%D8%B2-ID130464514.html,160.0,,,16.0,"Al Khoud, Muscat",15 hours ago,
فيلا جديده راقيه للبيع في المعبيلة الثالثة,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%AC%D8%AF%D9%8A%D8%AF%D9%87-%D8%B1%D8%A7%D9%82%D9%8A%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%A8%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB%D8%A9-ID127849599.html,120000.0,6.0,6.0,408.0,"Al Maabilah, Muscat",17 hours ago,
فيلا راقية جديدة للايجار في المعبيلة villa for rent,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%B1%D8%A7%D9%82%D9%8A%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%A8%D9%8A%D9%84%D8%A9-villa-for-rent-ID127911504.html,500.0,6.0,7.0,408.0,"Al Maabilah, Muscat",17 hours ago,
shop for rent in seeb souq,https://www.dubizzle.com.om/en/ad/shop-for-rent-in-seeb-souq-ID130133842.html,100.0,,,25.0,"Al Seeb, Muscat",17 hours ago,
2bhk in darsait free wifi (B1577),https://www.dubizzle.com.om/en/ad/2bhk-in-darsait-free-wifi-b1577-ID130360086.html,160.0,2.0,2.0,95.0,"Darsait, Muscat",17 hours ago,
2bhk flat in almumtaz free wifi (B3434),https://www.dubizzle.com.om/en/ad/2bhk-flat-in-almumtaz-free-wifi-b3434-ID130486159.html,220.0,2.0,2.0,100.0,"Ruwi, Muscat",17 hours ago,
SR-HK-595 Fully furnished Townhouse for rent in Almouj .,https://www.dubizzle.com.om/en/ad/sr-hk-595-fully-furnished-townhouse-for-rent-in-almouj-ID130484916.html,800.0,2.0,3.0,200.0,"The Wave (Almouj), Muscat",22 hours ago,
أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء,https://www.dubizzle.com.om/en/ad/%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%AE%D9%85%D8%B3-%D8%A7%D8%B1%D8%A7%D8%B6%D9%8A-%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D8%A9-%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D9%83%D9%84-%D9%85%D9%86%D9%87%D9%86-16800-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D9%81%D9%8A-%D9%88%D9%84%D8%A7%D9%8A%D8%A9-%D8%A8%D8%B1%D9%83%D8%A7%D8%A1-ID129792393.html,350000.0,,,,"Barka, Al Batinah",23 hours ago,
أرض للبيع او الاستثمار بناية سكنيه تجارية,https://www.dubizzle.com.om/en/ad/%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A7%D9%88-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1-%D8%A8%D9%86%D8%A7%D9%8A%D8%A9-%D8%B3%D9%83%D9%86%D9%8A%D9%87-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%D8%A9-ID129792295.html,250000.0,,,547.0,"Al Buraimi, Al Buraimi",23 hours ago,
ارض للبيع سكني تجاري في غلاء - Land for sale in Ghala,https://www.dubizzle.com.om/en/ad/%D8%A7%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B3%D9%83%D9%86%D9%8A-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A-%D9%81%D9%8A-%D8%BA%D9%84%D8%A7%D8%A1-land-for-sale-in-ghala-ID129789432.html,500.0,,,,"Ghala, Muscat",23 hours ago,
فيلا راقيه للبيع في الخوض السادسه,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%B1%D8%A7%D9%82%D9%8A%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%AE%D9%88%D8%B6-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3%D9%87-ID130303578.html,285000.0,9.0,10.0,614.0,"Al Khoud, Muscat",1 day ago,
محلات للايجار في العامرات,https://www.dubizzle.com.om/en/ad/%D9%85%D8%AD%D9%84%D8%A7%D8%AA-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%B1%D8%A7%D8%AA-ID129884717.html,280.0,,,48.0,"Al Amarat, Muscat",1 day ago,
الأرض للبيع مساحه ٢١٠٨ م,https://www.dubizzle.com.om/en/ad/%D8%A7%D9%84%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%85%D8%B3%D8%A7%D8%AD%D9%87-%D9%A2%D9%A1%D9%A0%D9%A8-%D9%85-ID130483952.html,50000.0,,,,"Barka, Al Batinah",1 day ago,
MADINAT QABOOS | MODERN 3 BR APARTMENT,https://www.dubizzle.com.om/en/ad/madinat-qaboos-modern-3-br-apartment-ID130263167.html,800.0,3.0,2.0,125.0,"Madinat As Sultan Qaboos, Muscat",1 day ago,
MADINAT SULTAN QABOOS | BEAUTIFUL 1 BR APARTMENT,https://www.dubizzle.com.om/en/ad/madinat-sultan-qaboos-beautiful-1-br-apartment-ID130092375.html,500.0,1.0,2.0,85.0,"Madinat As Sultan Qaboos, Muscat",1 day ago,
"شقة للبيع في جبل سيفة Apartment for Sale with Direct sea view, Sifah",https://www.dubizzle.com.om/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%AC%D8%A8%D9%84-%D8%B3%D9%8A%D9%81%D8%A9-apartment-for-sale-with-direct-sea-view-sifah-ID130075608.html,95000.0,2.0,2.0,124.0,"Al Sifah, Muscat",1 day ago,
"Branded Residence, spacious apartment with Golf Course View",https://www.dubizzle.com.om/en/ad/branded-residence-spacious-apartment-with-golf-course-view-ID130115851.html,2500.0,3.0,5.0,264.0,"The Wave (Almouj), Muscat",1 day ago,
ADC803**145sqm Offices for rent in Ghubra north,https://www.dubizzle.com.om/en/ad/adc803145sqm-offices-for-rent-in-ghubra-north-ID129424781.html,725.0,,,145.0,"Al Ghubrah, Muscat",1 day ago,
ADA602** 2 Bedrooms apartments for rent in Khuwair,https://www.dubizzle.com.om/en/ad/ada602-2-bedrooms-apartments-for-rent-in-khuwair-ID128629843.html,350.0,2.0,3.0,110.0,"Al Khuwair, Muscat",1 day ago,
Apartment for sale in Muscat- شقة للبيع في مسقط,https://www.dubizzle.com.om/en/ad/apartment-for-sale-in-muscat-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%85%D8%B3%D9%82%D8%B7-ID130385552.html,87000.0,1.0,2.0,79.0,"Yiti, Muscat",1 day ago,"Smart & Sustainable Apartments for Sale in The Sustainable City-Yiti Live in Oman’s first net-zero carbon city – a green, smart, and modern community by the sea and surrounded by nature. Key Features: • Prices start"
