title,url,price_omr,bedrooms,bathrooms,size_sqm,locality,listing_date,agency
5 BR Spacious Villa in Azaiba Nearby Amenities,https://www.dubizzle.com.om/en/ad/5-br-spacious-villa-in-azaiba-nearby-amenities-ID130480123.html,197000.0,5.0,4.0,600.0,"Azaiba, Muscat",5 hours ago,Close to Sultan Center Land Area: 600 sqm Ground Floor: • Spacious master bedroom with attached bathroom • Two additional bedrooms • Common bathroom • Guestroom with attached bathroom and built-in wardrobe • Kitchen
Two Bedroom Seaview Apartment at Mandarin Oriental Muscat,https://www.dubizzle.com.om/en/ad/two-bedroom-seaview-apartment-at-mandarin-oriental-muscat-ID130287384.html,405000.0,2.0,3.0,131.0,"Qurum, Muscat",1 day ago,"Mandarin Oriental The Residences The Residences at Mandarin Oriental, Muscat The Residences at Mandarin Oriental, Muscat features exclusive private apartments in the capital ranging from 75 to 260 square metres in s"
Villa for Sale (Garden) - Sea View,https://www.dubizzle.com.om/en/ad/villa-for-sale-garden-sea-view-ID130333529.html,517000.0,4.0,6.0,506.0,"Yiti, Muscat",1 day ago,استثمر في مستقبل أخضر مع تملك حر وخطط دفع مرنة خطة الدفع: 50% قبل التسليم – 50% بعد التسليم على 3 أو 5 سنوات بدون رسوم خدمات | دفعة أولى 5% فقط وفر حتى 100% من فاتورة الكهرباء و50% من فاتورة الماء منازل خضراء موفرة
ADV905*4BHK Villa for rent in Madinat Illam in a complex,https://www.dubizzle.com.om/en/ad/adv9054bhk-villa-for-rent-in-madinat-illam-in-a-complex-ID130363172.html,750.0,4.0,4.0,300.0,"Qurum, Muscat",5 hours ago,
ADV906**4BHK Villa in a comples in shatti qurum,https://www.dubizzle.com.om/en/ad/adv9064bhk-villa-in-a-comples-in-shatti-qurum-ID130363228.html,1900.0,4.0,4.0,300.0,"Qurum, Muscat",5 hours ago,
ADC507*** Office Space in Azaiba – 440 sqm for Rent*,https://www.dubizzle.com.om/en/ad/adc507-office-space-in-azaiba-440-sqm-for-rent-ID129639367.html,2310.0,,,440.0,"Azaiba, Muscat",5 hours ago,
*ADV705** 3+1 BHK Villa for Rent in Bousher –Al Muna,https://www.dubizzle.com.om/en/ad/adv705-31-bhk-villa-for-rent-in-bousher-al-muna-ID129637250.html,650.0,3.0,4.0,350.0,"Bosher, Muscat",5 hours ago,
3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool,https://www.dubizzle.com.om/en/ad/3-1-fully-furnished-villa-for-sale-in-al-khoud-with-garden-pool-ID130473813.html,150000.0,3.0,4.0,768.0,"Al Khoud, Muscat",5 hours ago,
4 BR + Maid’s Room Spacious Well-Designed Villa in Azaiba,https://www.dubizzle.com.om/en/ad/4-br-maids-room-spacious-well-designed-villa-in-azaiba-ID130440803.html,750.0,4.0,5.0,439.0,"Azaiba, Muscat",5 hours ago,
ADV905*4BHK Villa for rent in Madinat Illam in a complex,https://www.dubizzle.com.om/en/ad/adv9054bhk-villa-for-rent-in-madinat-illam-in-a-complex-ID130363172.html,750.0,4.0,4.0,300.0,"Qurum, Muscat",5 hours ago,
