title,Price,bedrooms,bathrooms,Size,Location,Property_type
"فيلا للبيع في مدينة السلطان هيثم | Villa For Sale, Sultan Haitham City",175000.0,4,3,333.0,"Al Seeb, Muscat",Villa
شقق للبيع في مدينة السلطان هيثم Apartments for Sale in Sultan Haitham,53922.0,1,1,67.0,"Sultan Haitham City, Muscat",Apartment
2-Bedroom Apartment in Jebel Sifah شقة غرفتين للبيع في جبل سيفة,73000.0,2,2,120.0,"Al Sifah, Muscat",Apartment
Farm 2+1 Bedrooms in Jebel Sifah | شاليه غرفتين + عاملة في جبل سيفة,170000.0,2,3,140.0,"Al Sifah, Muscat",Other
"Live in Style: 2BR + Maid’s Room Apartment, Jebel Sifah",110000.0,2,2,124.0,"Al Sifah, Muscat",Apartment
"Sifah Farm 2+1 Bed for sale, Jebel Sifah | شاليه للبيع في جبل سيفة",190000.0,2,3,990.0,"Al Sifah, Muscat",Other
فيلا غرفتين للبيع في هوانا صلالة | Villa 2BHK in Hawana Salalah,165000.0,2,2,131.0,"Salalah, Dhofar",Villa
2Bedroom Duplex Villa For Sale – Hawana Salalah,135000.0,2,2,124.0,"Salalah, Dhofar",Villa
Furnished 4-Bedroom Twin-Storey Villa for Sale in Jebel Sifah,335000.0,4,4,344.0,"Al Sifah, Muscat",Villa
Fully Furnished 2-Bedroom Villa for Sale in Hawana salalah,160000.0,2,2,131.0,"Salalah, Dhofar",Villa
Townhouse for sale in Sultan Haitham تاون هاوس للبيع في مدينة السلطان,111700.0,3,3,194.0,"Sultan Haitham City, Muscat",Villa
2 Bedrooms Sea View Villa Jebel Sifah | فيلا غرفتين على البحر جبل سيفة,265000.0,2,2,129.0,"Al Sifah, Muscat",Villa
Studio room near Al Mouj free wifi,150.0,1,1,45.0,"The Wave (Almouj), Muscat",Studio
Marina-Facing 3-Bedroom Apartment for Sale – Al Mouj Muscat,240000.0,3,3,195.0,"The Wave (Almouj), Muscat",Apartment
VILLA FOR RENT NEAR CROWNE PLAZA 4 BEDROOMS,3000.0,4,6,,"Qurum, Muscat",Villa
Park View| Private Garden| Luxurious Amara 5BHK Villa in Jinan Island,714000.0,5,6,455.0,"The Wave (Almouj), Muscat",Villa
توين فيلا بموقع ممتاز للبيع في العامرات مرتفعات 2,82000.0,6,7,338.0,"Al Amarat, Muscat",Other
تملك شقتك الدوبلكيس من طابقين ف العذيبه بالاقساط علي 48 شهر بدون فوائد,49500.0,2,3,105.0,"Azaiba, Muscat",Other
تملك شقتك الفندقيه ف العذيبه بالاقساط علي 48 شهر بدون فوائد,29500.0,1,2,60.0,"Azaiba, Muscat",Other
Own Your Shop with Residential Visa in installments over 8 years,39750.0,2,3,15.0,"Muscat Hills, Muscat",Commercial
تملك محلك ف أول مول ف مسقط هيلز وبالاقساط علي 100 شهر بدون فوائد,39750.0,2,3,15.0,"Muscat Hills, Muscat",Other
