title,Price,bedrooms,bathrooms,Size,Location,Property_type
FREE HOLD!! 3BHK Apartments at Wadi Zaha in Sultan Haitham City,110000.0,3,4,169.0,"Sultan Haitham City, Muscat",Apartment
Don't miss your chance to buy your apartment in Sultan Haitham City!!,54000.0,1,2,70.0,"Sultan Haitham City, Muscat",Apartment
Free Hold!! Amazing 4BHK Villa For Sale in Golf Links - Al Mouj FSV71,567000.0,4,5,314.0,"The Wave (Almouj), Muscat",Villa
3 Bedroom Modern Townhouse in NEEM at Al Marsa Village-Al Mouj FSV70,200000.0,3,3,192.0,"The Wave (Almouj), Muscat",Villa
Furnished 1BHK Apartment in For Sale in Hawana Salalah FSA52,47000.0,1,1,65.0,"Salalah, Dhofar",Apartment
4BHK Amazing Villa for Sale in Al Muna Bousher FSV53,165000.0,4,5,350.0,"Bosher, Muscat",Villa
"Luxury Fully Furnished 4+1BHK Villa, Private Pool in Muscat Bay FSV56",470000.0,5,5,422.0,"Barr Al Jissah, Muscat",Villa
"""SR-JV-495 Villa to let In al seeb """,550.0,3,5,250.0,"Al Seeb, Muscat",Villa
"""SR--DM-854 Villa for Rent – North Al Hail فيلا فاخرة للإيجار بالحيل",825.0,4,5,300.0,"Al Hail, Muscat",Villa
SR--SO-943 Villa for rent in Al Ansab heights.,450.0,6,7,400.0,"Ansab, Muscat",Villa
Cheapest Off-Plan appartment in Muscat Hills | أرخص وحدة في مسقط هيلز,60557.0,1,2,60.0,"Muscat Hills, Muscat",Other
"""SR-FM-464 Pant house for rent in alhail north",600.0,3,4,170.0,"Al Hail, Muscat",Villa
SR--ZW-908 Villa for rent in almawaleh north,700.0,7,9,550.0,"Al Mawaleh, Muscat",Villa
4 BR lake view villa for rent in Muscat Bay,1300.0,4,5,500.0,"Qantab, Muscat",Villa
ADV408**Luxurious Standalone Villa for Rent – Fully Furnished,900.0,3,4,450.0,"Al Hail, Muscat",Villa
BRAND-NEW 3 BR VILLAS AVAILABLE FOR RENT,700.0,3,4,300.0,"Bosher, Muscat",Villa
Offices available for rent in prime locations in Al Azaiba,1500.0,2,3,300.0,"Azaiba, Muscat",Commercial
2 Bedrooms Apartment for Rent in Almouj Muscat Marina Views,900.0,2,2,154.0,"The Wave (Almouj), Muscat",Apartment
5 Bedrooms Villa For Sale in Almouj Muscat,550000.0,5,6,520.0,"The Wave (Almouj), Muscat",Villa
Beautiful 5 Bedrooms Villa For Sale in Almouj Muscat,490000.0,5,7,519.0,"The Wave (Almouj), Muscat",Villa
93 SQM Office Space FOR RENT Bausher near Al Ameen Mosque MPC28-B,511.5,2,3,93.0,"Bosher, Muscat",Commercial
Spacious Offices FOR RENT in Ghala Airport Heights MPC07,638.49,2,3,213.0,"Ghala, Muscat",Commercial
MADINAT SULTAN QABOOS | MODERN HIGH QUALITY 6+2BEDROOM LUXURIOUS VILLA,2199.0,8,9,700.0,"Madinat As Sultan Qaboos, Muscat",Villa
ADV925** 3bhk + maid's villa for rent in complex located in qurum heig,550.0,3,3,300.0,"Qurum, Muscat",Villa
Brand new villa for rent in Madinat sultan qabus,1800.0,5,6,400.0,"Madinat As Sultan Qaboos, Muscat",Villa
ADV101*5BHK+Maid twin villa for rent in seeb sur al hadid,475.0,5,6,375.0,"Al Seeb, Muscat",Villa
ADA010*2BHK+Maid apartement for rent in Madinat sultan,650.0,2,3,130.0,"Madinat As Sultan Qaboos, Muscat",Other
93 sqm luxury office in mabila free wifi,200.0,2,3,95.0,"Al Maabilah, Muscat",Commercial
2bhk in alhail free wifi (family only),180.0,2,3,100.0,"Al Hail, Muscat",Other
1bhk darsait near ISM school free wifi,130.0,1,1,90.0,"Darsait, Muscat",Other
PENTHOUSE FURNISHED 2 BHK FLAT WITH LARGE BALCONY,400.0,2,2,105.0,"Al Ghubrah, Muscat",Apartment
شقة للبيع في مبنى ذا لينكس – مسقط هيلز-Apartment for Sale – The Links,88000.0,1,1,105.0,"Muscat Hills, Muscat",Apartment
"""SR-NM-806 Commercial Villa for Rent – Mazzoun Street.",2000.0,2,3,125.0,"Al Khoud, Muscat",Villa
SR-MS--949 Fully furnished flat for rent in Bosher.,400.0,2,3,170.0,"Bosher, Muscat",Apartment
SR-BD-902 Villa for Rent in Mawaleh North/فيلا للايجار في الموالح,650.0,7,8,500.0,"Al Mawaleh, Muscat",Villa
"شقة للبيع بمزايا فريدة وموقع استراتيجي ,اختيارك للسكن او الإستثمار",45000.0,2,3,106.0,"Ghala, Muscat",Other
Exclusive Beachfront 2 bedrooms Villa in Jebel Sifah,205000.0,2,2,129.0,"Al Sifah, Muscat",Villa
Luxurious 2BHK Villa | Private Pool | Large Garden | Hawana Salalah,227200.0,2,3,494.0,"Salalah, Dhofar",Villa
Sea View-1BHK Appartment Sustainable City Yiti | شراء شقة | ROI: 9%,105647.0,1,2,78.0,"Yiti, Muscat",Other
ROI: 9% | Marina View -2BHK FreeHold Appartment Sustainable City Yiti,166570.0,2,3,121.0,"Yiti, Muscat",Other
1 BR Appartment FreeHold Uptown شقة بغرفة نوم واحدة في مسقط,59016.0,1,2,83.0,"Al Seeb, Muscat",Other
Amazing 1 BHK Apartment For Sale in Wadi Zaha With Easy Payment Plan,58350.0,1,2,73.0,"Al Seeb, Muscat",Apartment
30/70 Payment Plan | Spacious Unit | Sustainable City Yiti,85034.0,1,2,78.0,"Yiti, Muscat",Other
Luxzurious 2BHK with Stunning View| High Floor| Payment Plan| Solaris,91013.0,2,2,85.0,"Al Sifah, Muscat",Other
Standalone Villa | Flexible Payment Plan | Raya in Jebel Sifah,184612.0,3,4,183.0,"Al Sifah, Muscat",Villa
Serviced 2 BHK Apartment for Sale in La Vie with 3 Years Payment Plan,150131.0,2,3,114.0,"Muscat - Other, Muscat",Apartment
Luxurious 2BR | Balcony | Payment Plan | Solaris in Jebel Sifah,97080.0,2,2,89.0,"Al Sifah, Muscat",Other
Fabulous View | High Floor | Scenic Balcony | Solaris,93613.0,2,2,85.0,"Al Sifah, Muscat",Other
Band New Luxurious Studio with Dazzling View For Sale in Solaris,45299.0,2,1,38.0,"Al Sifah, Muscat",Studio
20/80 Payment Plan | Boulevard View | Hay Alwafa Sultan Haitham City,58332.0,1,2,72.0,"Sultan Haitham City, Muscat",Other
20/80 Payment Plan| Spacious 3BR+Maids| Terrace| Hay Alwafa,119890.0,3,4,154.0,"Sultan Haitham City, Muscat",Other
20/80 Payment Plan | Boulevard View | Terrace | Hay Alwafa,55561.0,1,2,67.0,"Sultan Haitham City, Muscat",Other
4 BHK Penthouse | High Floor | 5 Years Payment Plan | Uptown Muscat,222240.0,4,6,338.0,"Muscat - Other, Muscat",Villa
20/80 Payment Plan | Corner 5BR Villa | Hay Alwafa Sultan Haitham City,233300.0,5,7,412.0,"Sultan Haitham City, Muscat",Villa
Big 3 BHK Apartment with Balcony | 5 Yrs Payment Plan | Uptown Muscat,103996.0,3,4,158.0,"Muscat - Other, Muscat",Apartment
Freehold 2BHK Apartment in Telal Al Qurum | Flexible Payment Plan,65940.0,2,2,89.0,"Qurum, Muscat",Apartment
Spacious 2BR| Balcony| 5 Years Payment Plan| Uptown Muscat,101126.0,2,3,100.0,"Muscat - Other, Muscat",Other
Spacious Layout | Balcony| Easy Payment Plan | Uptown Muscat,71129.0,1,2,96.0,"Muscat - Other, Muscat",Other
Dazzling Garden 3BHK Townhouse for Sale in Wadi Zaha with Payment Plan,176085.0,3,4,215.0,"Al Seeb, Muscat",Villa
Luxurious 1 BHK Apartment | 5 Years Payment Plan | Uptown Muscat,51580.0,1,1,57.0,"Muscat - Other, Muscat",Apartment
Amazing Marina View | Balcony | High Floor | Easy 30/70 Payment Plan,81930.0,2,1,54.0,"Yiti, Muscat",Other
Furnished 1 BHK Apartment for sale in La Vie | 3 Years Paymment Plan,124799.0,1,2,105.0,"Muscat - Other, Muscat",Apartment
Flexible Payment Plan | Big Terrace | Maids Room | Hay Alwafa,96019.0,2,3,128.0,"Sultan Haitham City, Muscat",Other
Standalone Villa | Payment Plan | Iconic Location | Raya,188265.0,3,4,183.0,"Al Sifah, Muscat",Villa
Villa For Sale,135000.0,5,7,401.0,"Al Khoud, Muscat",Villa
1 BHK APARTMENT IN GRAND MALL (SD23H),450.0,1,2,120.0,"Bosher, Muscat",Apartment
2 BHK apartment in Muscat Grand Mall (S27G),550.0,2,3,120.0,"Bosher, Muscat",Apartment
"Brand New 5 BHK Villa for Rent – MQ, Muscat",1000.0,5,6,370.0,"Madinat As Sultan Qaboos, Muscat",Villa
Exclusive Fully Serviced Office Spaces - Al Khuwair - Bait Eteen,250.0,2,3,12.0,"Al Khuwair, Muscat",Commercial
"ADW03**Beautiful & Spacious 2 BHK Apartment for Rent – The Wave, Marsa",700.0,2,2,110.0,"The Wave (Almouj), Muscat",Apartment
شقة للبيع في بوشر بجانب جامع محمد الامين ب افضل المميزات والاسعار,29000.0,1,2,58.0,"Bosher, Muscat",Other
3 Bedroom Apartment for Rent in Al Mouj Muscat,900.0,3,3,200.0,"The Wave (Almouj), Muscat",Apartment
احجز شقتك الان في مدينة السلطان هيثم,50510.0,1,1,67.0,"Sultan Haitham City, Muscat",Other
شقة للبيع راقية بافضل الاسعار في السوق واقساط ميسره اكثر من ٢٠ شهر,26500.0,1,2,70.0,"Al Seeb, Muscat",Other
مكاتب ب احدث التجهيزات للبيع ب القرب من جميع الخدمات,31000.0,2,3,63.0,"Ghala, Muscat",Other
شقه للبيع بافضل الاسعار في السوق و اقساط ميسره اكثر من ٢٠ شهر,51000.0,4,4,114.0,"Bosher, Muscat",Other
شقه راقيه وبسعر اقل من السوق واقساط لاكثر من ٢٠ شهر,25500.0,1,2,67.0,"Al Khoud, Muscat",Other
Prime Investment Opportunity Building for sale in the Heart of ALMOUJ!,6500000.0,2,3,,"The Wave (Almouj), Muscat",Other
BRAND NEW 3 BR TOWNHOUSE IN AL MUNA BOUSHER,700.0,3,4,300.0,"Bosher, Muscat",Villa
AL KHUWAIR | EXCELLENT 2 BHK FLAT FOR FAMILIES,270.0,2,2,105.0,"Al Khuwair, Muscat",Apartment
FSV58 فلل فخمه للبيع في الخوض لا مثيل لها في السوق,220000.0,7,8,625.0,"Al Khoud, Muscat",Other
FULLY FURNISHED 1 BHK APARTMENT,300.0,1,1,85.0,"Al Ghubrah, Muscat",Apartment
FULLY FURNISHED 2 BR FLAT IN KHUWAIR (AVAILABLE SOON),350.0,2,2,105.0,"Al Khuwair, Muscat",Apartment
MADINAT SULTAN QABOOS | HIGH QUALITY 6+2 BEDROOM LUXURIOUS VILLA,1899.0,7,9,590.0,"Madinat As Sultan Qaboos, Muscat",Villa
GHALA | 2200 SQM WAREHOUSE FOR RENT IN PRIME LOCATION,3999.0,2,3,,"Ghala, Muscat",Villa
QURM | PALATIAL 5+2 BR VILLA IN A PRIVATE COMPUND,2299.0,7,8,658.0,"Qurum, Muscat",Villa
MADINAT QABOOS | MODERN 4+1 LUXURIOUS VILLA WITH PRIVATE POOL FOR RENT,1599.0,5,7,454.0,"Madinat As Sultan Qaboos, Muscat",Villa
MADINAT AL ILAM | FULLY FURNISHED 5+1BR COMPOUND VILLA,1400.0,6,8,375.0,"Madinat As Sultan Qaboos, Muscat",Villa
Modern Villa for Sale in Al Khoudh,118000.0,5,6,430.0,"Al Khoud, Muscat",Villa
Villa 3 Bedroom with Stunning Sea View for Sale in Jebel Sifah,250000.0,3,3,153.0,"Al Sifah, Muscat",Villa
للبيع شقه مجمع تلال في جراند مول,83000.0,3,2,203.0,"Al Khuwair, Muscat",Other
2BHK Freehold in Uptown Muscat | شقة تملّك حر ٢ غرف في مسقط,87735.0,2,3,134.0,"Al Seeb, Muscat",Other
أروع شقة دوبلکس ب4 غرف نوم تملک حر داخل مسقط,222240.0,4,6,339.0,"Al Seeb, Muscat",Other
1 BR Appartment FreeHold Sustainable City Yiti شقة بغرفة نوم واحدة,85034.0,1,2,79.0,"Yiti, Muscat",Other
7 Yr installment Villa Freehold –2026 أقساط 7 سنوات فيلا تملّك حر,274733.0,3,5,238.0,"Yiti, Muscat",Villa
Full Office Floor for Sale – Commercial | بيع كامل لطابق مكتبي,3400000.0,2,3,,"Al Ghubrah, Muscat",Commercial
4 + 1 Maid’s Room Amazing Villa with Private Pool in Muscat Hills,1350.0,4,5,689.0,"Muscat Hills, Muscat",Villa
فيلا أربع غرف للبيع في مسقط- Villa for sale with 4 bedrooms in Muscat,276000.0,4,6,285.0,"Yiti, Muscat",Villa
1bhk in Bosher free WiFi (B264),200.0,1,2,80.0,"Bosher, Muscat",Other
2bhk near Al Mouj free WiFi (B173),250.0,2,3,100.0,"Al Mawaleh, Muscat",Other
1bhk in almasfah,100.0,1,2,70.0,"Misfah, Muscat",Other
AL MOUJ | AMAZING 3+1BR GHADEER COURTYARD VILLA,1299.0,4,4,337.0,"The Wave (Almouj), Muscat",Villa
للايجار شقه جديده في موقع متميز في غلا شقه غرفه وصاله,220.0,1,2,75.0,"Ghala, Muscat",Other
ورشه ومركز صيانه للايجار في مسفاه بموقع مميز وحيوي work shop for Rent,2000.0,2,3,,"Misfah, Muscat",Commercial
للإيجار – محلين تجاريين في الموالح الجنوبية 11 مقابل جهاز الضرائب,325.0,2,3,74.0,"Al Mawaleh, Muscat",Other
للايجار شقة للعوائل في بوشر 1BHK FOR RENT,190.0,1,2,75.0,"Bosher, Muscat",Other
for rent open space offices and companies located in prime area Ghala,800.0,2,3,350.0,"Ghala, Muscat",Commercial
شقه بموقع مميز في الغبرة الشمالية ( للمكاتب فقط) flat for office need,350.0,2,2,120.0,"Al Ghubrah, Muscat",Apartment
تملك شقة الخريف الفاخرة ، بإطلالة بحرية ساحرة,33500.0,1,2,143.0,"Salalah, Dhofar",Other
Spacious 3BHK Sultan Haitham City| شقة غرفتين نوم للبيع، سند الملكية,110640.0,3,4,196.0,"Sultan Haitham City, Muscat",Other
AL KHUWAIR | WELL MAINTAINED 2 BR FLAT,280.0,2,2,105.0,"Al Khuwair, Muscat",Apartment
Spacious 2BHK FreeHold Sultan Haitham City| شقة بغرفتي نوم للبيع,80750.0,2,3,142.0,"Sultan Haitham City, Muscat",Other
استوديوهات للبيع بالتقسيط في مدينة السلطان هيثم بأسعار معقولة Studio,46627.0,2,2,72.0,"Sultan Haitham City, Muscat",Studio
2 BHK Apartment for Sale in Qurum – PDO Heights,80000.0,2,2,137.0,"Qurum, Muscat",Apartment
Road Facing Showroom for Rent in Hamriya!,2000.0,2,3,400.0,"Al Hamriyah, Muscat",Other
Modern 3+1 Villa for Rent – Qurum Heights,1200.0,3,4,200.0,"Qurum, Muscat",Villa
Commercial Space for Rent in Al Khuwair – Special Discounted Rate!,1150.0,2,3,226.0,"Al Khuwair, Muscat",Commercial
Road-Facing Commercial Space for Rent – Heart of Al Khuwair,2700.0,2,3,130.0,"Al Khuwair, Muscat",Commercial
Prime 2700 sqm Land for Sale in Azaiba,810000.0,2,3,,"Azaiba, Muscat",Land
GHALA | 2200 SQM WAREHOUSE IN PRIME LOCATION,4000.0,2,3,,"Ghala, Muscat",Villa
"شقة للبيع تجهز خلال شهرين خلف بانوراما مول ,فرصة قوية للاستثمار والسكن",44000.0,2,2,97.0,"Al Ghubrah, Muscat",Other
"تاون هاوس كورنر ، هوانا صلالة | Beautiful Corner Townhouse ,Salalah",68000.0,1,2,76.0,"Salalah, Dhofar",Villa
Elegant 4-Bedroom Zaha Villa for Sale in Muscat Bay,413968.0,4,4,422.0,"Qantab, Muscat",Villa
"FREEHOLD 1 BEDROOM APARTMENT – MUSCAT HILLS, OPAL RESIDENCE",60294.0,1,2,80.0,"Muscat Hills, Muscat",Apartment
"FREEHOLD 2+1 BEDROOM APARTMENT – OPAL RESIDENCE, MUSCAT HILLS",97000.0,2,2,120.0,"Muscat Hills, Muscat",Apartment
Apartment in Muscat for sale- شقة في مسقط للبيع,88000.0,1,2,79.0,"Yiti, Muscat",Apartment
Apartment for Sale with 2-Bedroom – Smart & Sustainable Living,128000.0,2,3,120.0,"Yiti, Muscat",Apartment
Apartment for Sale with 1-Bedroom and Offering Unique Views,85034.0,1,2,85.0,"Yiti, Muscat",Apartment
Apartment with 1 bedroom for sale- شقة بغرفة واحدة للبيع,91000.0,1,2,80.0,"Yiti, Muscat",Apartment
Villa for Sale 4 Bedrooms- فيلا للبيع 4 غرف,317000.0,4,5,282.0,"Yiti, Muscat",Villa
Three bedroom villa for sale- فيلا ثلاث غرف للبيع,238000.0,3,5,252.0,"Yiti, Muscat",Villa
Villa for Sale in Muscat- فيلا للبيع في مسقط,455000.0,4,6,459.0,"Yiti, Muscat",Villa
Apartment for Sale with 3 - Bedrooms - Hotel and Courtyard View,229078.0,3,4,164.0,"Yiti, Muscat",Apartment
Villa for Sale (Garden) - Plaza View,455617.0,4,5,506.0,"Yiti, Muscat",Villa
Apartment for Sale with 2 - Bedroom - Marina View,160000.0,2,3,120.0,"Yiti, Muscat",Apartment
3 Bedroom apartment with sea view- شقة 3 غرف باطلالة بحرية,236000.0,3,4,172.0,"Yiti, Muscat",Apartment
Villa for Sale in Yiti - فيلا للبيع في يتي,238000.0,4,5,256.0,"Yiti, Muscat",Villa
Brand New 2 Bedroom Apartment in Almouj Muscat,1100.0,2,3,146.0,"The Wave (Almouj), Muscat",Apartment
3 Bedroom Charming Villa for Sale in Ghadeer Parks,310000.0,3,4,247.0,"The Wave (Almouj), Muscat",Villa
"Sultan Haitham City, Freehold 5-Bedroom Villa for Sale in Sarooj Oasis",174600.0,5,6,280.0,"Sultan Haitham City, Muscat",Villa
2 Bedroom Apartment for Rent in Al Mouj,700.0,2,2,136.0,"The Wave (Almouj), Muscat",Apartment
"Sultan Haitham City, 1-Bedroom Apartment for Sale in Sarooj Oasis",50000.0,1,2,82.0,"Sultan Haitham City, Muscat",Apartment
"Free Hold 2+1 Bedroom Apartment in Muscat Hills, OPAL RESIDENCE",97000.0,3,4,120.0,"Muscat Hills, Muscat",Apartment
FREEHOLD STUDIO APARTMENT IN MUSCAT HILLS – OPAL RESIDENCE,47700.0,2,1,49.0,"Muscat Hills, Muscat",Apartment
BOUSHER | BRAND-NEW 3 BR VILLAS WITH POOL,850.0,3,4,300.0,"Bosher, Muscat",Villa
one room in alkuwair free wifi,130.0,1,1,30.0,"Al Khuwair, Muscat",Other
GHUBRA WELL MAINTAINED 2BHK APARTMENT - FREE WIFI,250.0,2,2,100.0,"Al Ghubrah, Muscat",Apartment
ADA056*3BHK apartement for rent in khuwair Jasmine complex,550.0,3,4,120.0,"Al Khuwair, Muscat",Other
Murooj Al Zain – Salalah’s Hidden Gem,80.0,2,3,90.0,"Salalah, Dhofar",Other
MADINAT AL ILAM | SPACIOUS 5+1 BR COMPOUND VILLA,900.0,5,6,500.0,"Madinat As Sultan Qaboos, Muscat",Villa
BRAND NEW LUXURIOUS 5+1 BR VILLAS IN MADINAT QABOOS,1700.0,6,7,500.0,"Madinat As Sultan Qaboos, Muscat",Villa
5+1 BR Spacious Modern Villa in Qurum,1250.0,6,7,499.0,"Qurum, Muscat",Villa
A Premium Villa in a Gated Community in Madinat Sultan Qaboos,725.0,5,5,360.0,"Madinat As Sultan Qaboos, Muscat",Villa
1BHK Apartment in Almouj Lagoon | شقة 1 غرفة في الموج لاجون | FreeHold,96000.0,1,2,107.0,"The Wave (Almouj), Muscat",Apartment
للبيع أرض سكنية في مرتفعات الأنصب كورنر على شارعين مساحة كبيرة 691 متر,145000.0,2,3,691.0,"Ansab, Muscat",Other
Ultra-Luxury 6-Bedroom Villa | Golf Beach Residences – Al Mouj Muscat,3200000.0,6,7,,"The Wave (Almouj), Muscat",Villa
"Penthouse 2BR + Terrace | Great Deal in Al Mouj – Only OMR 200,000",200000.0,2,2,,"The Wave (Almouj), Muscat",Villa
"ADC2808* 500 SQM Offices for rent in Ghubra north , 18 november street",2500.0,2,3,500.0,"Al Ghubrah, Muscat",Commercial
3bhk in wadi kabir with free WiFi (B656),220.0,3,2,105.0,"Al Wadi Al Kabir, Muscat",Other
*ADV707** 4+1BHK Villa for Rent in Bousher –Al Muna,600.0,4,5,310.0,"Bosher, Muscat",Villa
4 + 1 BR Penthouse Apartment in Madinat Sultan Qaboos for Sale,135000.0,3,4,273.0,"Madinat As Sultan Qaboos, Muscat",Apartment
"Office for Rent in Business Tower 1 , Muscat Hills",1150.0,2,3,161.0,"Muscat Hills, Muscat",Commercial
للايجار فيلا في بوشر هايتس - المنى,2500.0,9,10,,"Bosher, Muscat",Other
Spacious Branded apartment with direct beach access,1700.0,2,3,195.0,"The Wave (Almouj), Muscat",Apartment
Fully Furnished 1BHK Apartment at St Regis,1350.0,1,2,143.0,"The Wave (Almouj), Muscat",Apartment
Fullyfurnished Seaview Apartment at St Regis Al Mouj,461000.0,2,3,185.0,"The Wave (Almouj), Muscat",Apartment
villa for Rent,700.0,7,8,450.0,"Al Mawaleh, Muscat",Villa
1BR Freehold Apt in BLV Muscat Hills | شقة تمليك غرفة نوم بمسقط,63281.0,1,1,100.0,"Muscat Hills, Muscat",Apartment
High-Value Investment – Sea-View 2BR at St. Regis,450000.0,2,3,183.0,"The Wave (Almouj), Muscat",Other
امتلك تاون هاوس راقٍ في مدينة السلطان هيثم,111700.0,3,3,194.0,"Sultan Haitham City, Muscat",Other
Office 464SQM for rent in Azaiba,2552.0,2,3,464.0,"Azaiba, Muscat",Commercial
ADL06**Penthouse 2BHK apartement for rent in The links,675.0,2,3,180.0,"Muscat Hills, Muscat",Villa
ADL05*2BHK Furnished Penthouse For Rent in Muscat Hills + Private Pool,600.0,2,2,120.0,"Muscat Hills, Muscat",Villa
Apartment for Sale in Jebel Sifah | شقة للبيع في جبل سيفة,117000.0,2,2,124.0,"Al Sifah, Muscat",Apartment
Best View 2 Bedrooms in Jebel Sifah | شقة غرفتين في جبل سيفة,85000.0,2,2,105.0,"Al Sifah, Muscat",Other
"Townhouse for sale, in Sultan Haitham City",121200.0,3,3,205.0,"Sultan Haitham City, Muscat",Villa
Furnished Farm for Sale in Jebel Sifah | مزرعة مؤثثة للبيع في جبل سيفة,181000.0,2,2,144.0,"Al Sifah, Muscat",Other
BEAUTIFUL FULLY FURNISHED 2 BHK APARTMENT,400.0,2,2,105.0,"Al Ghubrah, Muscat",Apartment
AL KHUWAIR | BEAUTIFUL 2 BR APARTMENT,270.0,2,3,105.0,"Al Khuwair, Muscat",Apartment
AMAZING 4 BR COMPOUND TOWNHOUSE (IMMEDIATE MOVE-IN),750.0,4,4,300.0,"Madinat As Sultan Qaboos, Muscat",Villa
BRAND NEW LUXURY 5+1 BR VILLA IN MADINAT SULTAN QABOOS,1700.0,5,6,300.0,"Madinat As Sultan Qaboos, Muscat",Villa
MADINAT SULTAN QABOOS | MODERN HIGH QUALITY 6+2 BEDROOM LUXURIOUS VILL,1899.0,7,9,846.0,"Madinat As Sultan Qaboos, Muscat",Other
MADINAT QABOOS | 3+2 BR REFURBISHED TRADITIONAL VILLA WITH SPACIOUS BA,699.0,4,5,350.0,"Madinat As Sultan Qaboos, Muscat",Villa
QURM | LUXURIOUS 6+1 BR VILLA FOR RENT,1399.0,7,7,500.0,"Qurum, Muscat",Villa
MADINAT AL ILAM | COMPACT 4 BR VILLA IN A GREAT LOCATION,750.0,4,4,300.0,"Madinat As Sultan Qaboos, Muscat",Villa
6 BR Stunning Villa in Bousher with Shared Pool,650.0,6,7,400.0,"Bosher, Muscat",Villa
Cozy Studio Apartment with Terrace in Jebel Sifah FSA41,44000.0,1,1,60.0,"Al Sifah, Muscat",Apartment
For Sale: 3 Bed Apartment at Muscat Hills,111375.0,3,3,135.0,"Muscat Hills, Muscat",Apartment
For Sale: 2 Bed Apartment at Muscat Hills,85000.0,2,3,111.0,"Muscat Hills, Muscat",Apartment
Commercial Spaces for Rent in Ghala |REF 559YB,900.0,2,3,330.0,"Ghala, Muscat",Commercial
Permanent residence in Oman |25 % pre -payment |sea view|Apartment,172000.0,1,2,77.0,"Qurum, Muscat",Apartment
بیع عاجل | شقة غرفة نوم للبیع | مسقط موج | قریب لمارینا | تملک حر |,125000.0,1,2,110.0,"The Wave (Almouj), Muscat",Other
شقة فندقیة 5نجوم |اطلالة مباشرة للبحر|استثمار ناجح|تقسیط| تسلیم فوری |,172000.0,1,2,77.0,"Qurum, Muscat",Other
فیلا إطلالة خلابة على ملعب الجولف | تملُّك حر | إقامة دائمة في عمان |,483997.0,4,5,314.0,"The Wave (Almouj), Muscat",Other
للبيع شقه راقيه ف العذيبه بتصميم وديكورعصري و قريب من الخدمات,45000.0,1,2,58.0,"Azaiba, Muscat",Other
3 BR + 2 Bedroom Great Villa in Al Khoudh,120000.0,4,4,596.0,"Al Khoud, Muscat",Villa
6 BR + Maid's Room Luxurious Villa in Al Ansab – Excellent Location,1000.0,6,5,620.0,"Ansab, Muscat",Villa
مكتب للإيجار في بوشر – مساحة 105 متر مربع بموقع مميز بالقرب من عمان مو,450.0,2,3,105.0,"Bosher, Muscat",Other
مكتب للإيجار في بوشر – موقع مميز على شارع المها,400.0,2,3,82.0,"Al Khuwair, Muscat",Other
49 SQM Offplan Freehold Studio Apartment in Muscat Hills,47775.0,2,1,49.0,"Muscat Hills, Muscat",Apartment
3 BR + Maids Room Improved Villa with Private Pool/Garden - Muscat Bay,496000.0,3,4,769.0,"Qantab, Muscat",Villa
4 BR + Maid’s Room Villa with Private Pool & Garden in Muscat Bay,442300.0,4,5,769.0,"Qantab, Muscat",Villa
"1 BR Top Notch Apartment – The Great Escape, AIDA by DarGlobal",90085.0,1,2,66.0,"Yiti, Muscat",Apartment
5 + 1 Freehold Future-Ready Villa – Sultan Haitham City,227700.0,5,7,444.0,"Al Maabilah, Muscat",Villa
2 BR Incredible Brand New Marina View Apartment in Al Mouj – Juman 2,1150.0,2,3,139.0,"The Wave (Almouj), Muscat",Apartment
Great Deal! 1 BR Apartment With Shared Pool and Gym in Bausher,47000.0,1,2,70.0,"Bosher, Muscat",Apartment
63 SQM Freehold Ground Floor Shop – Muscat Hills,99540.0,2,3,63.0,"Muscat Hills, Muscat",Commercial
53 SQM Freehold Offplan Office Space – Muscat Hills,53800.0,2,3,53.0,"Muscat Hills, Muscat",Commercial
1 BR Amazing Apartment in Sultan Haitham City,50730.0,1,2,75.0,"Al Maabilah, Muscat",Apartment
3 BR + Maid’s Room Furnished Commercial Villa in Al Hail - w/ Pool,900.0,3,3,700.0,"Al Hail, Muscat",Villa
28.75 SQM Offplan Smart Office in Ghala with Amenities For Sale,21563.0,2,3,28.0,"Ghala, Muscat",Commercial
3 BR Impressive Apartment in Al Khuwair with Swimming Pool,85000.0,3,3,174.0,"Al Khuwair, Muscat",Apartment
2 BR Complex Apartment in Al Khuwair with Swimming Pool,63750.0,2,3,140.0,"Al Khuwair, Muscat",Apartment
2 BR Elegant Offplan Duplex Apartment in Ghubra,58000.0,2,3,100.0,"Al Ghubrah, Muscat",Apartment
40 SQM Shop for Rent in Al Mawaleh,420.0,2,3,40.0,"Al Mawaleh, Muscat",Commercial
"2 BR Furnished Apartment in MGM, Ghubra",650.0,2,3,109.0,"Al Ghubrah, Muscat",Apartment
2 BR + 1 Maid’s Room Duplex Apartment in Madinat Sultan Qaboos,700.0,2,3,109.0,"Madinat As Sultan Qaboos, Muscat",Apartment
3 BR Elegant Apartment – Ruwi (1 Month Free),400.0,3,3,251.0,"Ruwi, Muscat",Apartment
2 BR Nice Apartment for Rent – CBD Near Sheraton,260.0,2,2,109.0,"Ruwi, Muscat",Apartment
1 BR Comfortable Apartment for Rent – Ruwi (Near OC Centre),180.0,1,2,59.0,"Ruwi, Muscat",Apartment
"350 SQM Office Space for Rent – Ruwi, CBD Area",1050.0,2,3,350.0,"Ruwi, Muscat",Commercial
3 + 1 Street-Facing Commercial Villa for Rent in the Heart of Qurm,1350.0,2,3,332.0,"Qurum, Muscat",Villa
